event_id,origintime,event_magnitude,event_azimuth_from_crater_deg,event_distance_from_crater_km,network,station,location,channel,latitude,longitude,hypocentral_distance_km,epicentral_distance_km,p_guide_s,s_guide_s,coda_start_s,frequency_min_hz,frequency_max_hz,frequency_band,window_index,window_start_s,window_end_s,noise_rms,coda_rms,snr,passes_snr
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,COVZ,11,HHZ,-39.199923,175.542296,155.85232335097436,155.68406145552012,25.975387225162393,44.52923524313553,89.05847048627106,1.0,10.0,1-10Hz,0,89.05847048627106,99.05847048627106,7.548267652564857e-08,3.1816932741644793e-06,42.151304386819916,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,COVZ,11,HHZ,-39.199923,175.542296,155.85232335097436,155.68406145552012,25.975387225162393,44.52923524313553,89.05847048627106,1.0,10.0,1-10Hz,1,94.05847048627106,104.05847048627106,7.548267652564857e-08,2.314469588353164e-06,30.662261791508154,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,COVZ,11,HHZ,-39.199923,175.542296,155.85232335097436,155.68406145552012,25.975387225162393,44.52923524313553,89.05847048627106,1.0,10.0,1-10Hz,2,99.05847048627106,109.05847048627106,7.548267652564857e-08,2.7776711341101175e-06,36.79878962911816,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,FWVZ,10,HHZ,-39.254945374,175.55295183,149.92224293948848,149.74731792388303,24.987040489914747,42.834926554139564,85.66985310827913,1.0,10.0,1-10Hz,0,85.66985310827913,95.66985310827913,4.979616202410152e-08,2.811390193130988e-06,56.45796942684589,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,FWVZ,10,HHZ,-39.254945374,175.55295183,149.92224293948848,149.74731792388303,24.987040489914747,42.834926554139564,85.66985310827913,1.0,10.0,1-10Hz,1,90.66985310827913,100.66985310827913,4.979616202410152e-08,2.3203708398155716e-06,46.59738312146434,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,FWVZ,10,HHZ,-39.254945374,175.55295183,149.92224293948848,149.74731792388303,24.987040489914747,42.834926554139564,85.66985310827913,1.0,10.0,1-10Hz,2,95.66985310827913,105.66985310827913,4.979616202410152e-08,1.7608296423244703e-06,35.360750121108175,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,WHVZ,10,HHZ,-39.2825,175.5886,145.86343388734437,145.68363546670977,24.310572314557394,41.675266824955536,83.35053364991107,1.0,10.0,1-10Hz,0,83.35053364991107,93.35053364991107,6.072421485467978e-08,3.6124708215338527e-06,59.489790525557595,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,WHVZ,10,HHZ,-39.2825,175.5886,145.86343388734437,145.68363546670977,24.310572314557394,41.675266824955536,83.35053364991107,1.0,10.0,1-10Hz,1,88.35053364991107,98.35053364991107,6.072421485467978e-08,2.7003960970025065e-06,44.469839642470035,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,WHVZ,10,HHZ,-39.2825,175.5886,145.86343388734437,145.68363546670977,24.310572314557394,41.675266824955536,83.35053364991107,1.0,10.0,1-10Hz,2,93.35053364991107,103.35053364991107,6.072421485467978e-08,1.7350579515802861e-06,28.572752331709594,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,TWVZ,10,HHZ,-39.071001379,175.437731105,172.61549250740643,172.46358615940926,28.769248751234404,49.31871214497327,98.63742428994654,1.0,10.0,1-10Hz,0,98.63742428994654,108.63742428994654,9.91817679084187e-08,1.4568929133891892e-06,14.689120229581286,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,TWVZ,10,HHZ,-39.071001379,175.437731105,172.61549250740643,172.46358615940926,28.769248751234404,49.31871214497327,98.63742428994654,1.0,10.0,1-10Hz,1,103.63742428994654,113.63742428994654,9.91817679084187e-08,1.4247115343186955e-06,14.364651531864494,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,TWVZ,10,HHZ,-39.071001379,175.437731105,172.61549250740643,172.46358615940926,28.769248751234404,49.31871214497327,98.63742428994654,1.0,10.0,1-10Hz,2,108.63742428994654,118.63742428994654,9.91817679084187e-08,8.705598961830948e-07,8.777418617774007,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,MAVZ,11,HHZ,-39.2679133,175.5616533,148.30204595354957,148.1252076163886,24.717007658924928,42.37201312958559,84.74402625917118,1.0,10.0,1-10Hz,0,84.74402625917118,94.74402625917118,9.78824547285166e-07,2.645465672738816e-06,2.7026964945619603,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,MAVZ,11,HHZ,-39.2679133,175.5616533,148.30204595354957,148.1252076163886,24.717007658924928,42.37201312958559,84.74402625917118,1.0,10.0,1-10Hz,1,89.74402625917118,99.74402625917118,9.78824547285166e-07,2.8378193333918335e-06,2.8992114483261697,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,MAVZ,11,HHZ,-39.2679133,175.5616533,148.30204595354957,148.1252076163886,24.717007658924928,42.37201312958559,84.74402625917118,1.0,10.0,1-10Hz,2,94.74402625917118,104.74402625917118,9.78824547285166e-07,2.467345319273916e-06,2.5207227649911927,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,TRVZ,10,HHZ,-39.298816259,175.547821602,145.71823518027134,145.53825738080818,24.286372530045224,41.63378148007752,83.26756296015505,1.0,10.0,1-10Hz,0,83.26756296015505,93.26756296015505,3.164368112703597e-08,2.73140958715385e-06,86.31769408206327,True
2025p910674,2025-12-03T22:47:13.676Z,4.780924459628688,158.96376595736206,157.11515126043463,NZ,TRVZ,10,HHZ,-39.298816259,175.547821602,145.71823518027134,145.53825738080818,24.286372530045224,41.63378148007752,83.26756296015505,1.0,10.0,1-10Hz,1,88.26756296015505,98.26756296015505,3.164368112703597e-08,2.444746163700392e-06,77.25858928630244,True
