combination_name,combination_code,seismic_velocity_mps,seismic_velocity_kmps,best_x_m,best_y_m,best_z_m,best_rms_s,best_source_lag_s,stations_used
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I2S1I1S1I2S1I1,2500.0,2.5,1827848.0,5661872.0,1910.128296,0.1916381090572947,-0.41889058643327315,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S2I1S1I1S1I2S1I2S2I2,3300.0,3.3,1828328.0,5662160.0,1795.425903,0.19218226089107984,0.40926228661924763,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I1S1I2S1I1,3000.0,3.0,1827944.0,5662064.0,2013.466919,0.1941601982849649,-0.6761371312941259,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_2/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S1I2S2I2S2I2S2I1,3300.0,3.3,1828232.0,5661680.0,1707.919678,0.19722518990914795,-0.8370432639623001,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_2,S1I1S1I1S2I2S1I2S2I2,3300.0,3.3,1828232.0,5662256.0,1871.278687,0.19814883039219747,0.33338624007688544,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_1 | NOVZ:seis_pick_2/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S2I1S2I2S1I2S1I1,2500.0,2.5,1828136.0,5661872.0,1836.069458,0.1991143173871368,0.0967529410520088,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_2 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S1I2S1I2S1I2S2I1,2500.0,2.5,1828136.0,5661488.0,1647.28064,0.20330957847897835,-0.060216762233865316,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_2/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S2I1S1I2S2I1S1I2S1I1,3300.0,3.3,1827944.0,5662064.0,2013.466919,0.2045052182264494,-0.7992499256749863,5
ETVZ:seis_pick_1/inf_pick_1 | NGZ:seis_pick_1/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_1/inf_pick_1,S1I1S1I2S1I1S1I2S1I1,2500.0,2.5,1827944.0,5661872.0,1879.445679,0.20473159556389037,-0.07795970365718449,5
ETVZ:seis_pick_2/inf_pick_1 | NGZ:seis_pick_2/inf_pick_2 | NOVZ:seis_pick_1/inf_pick_1 | OTVZ:seis_pick_1/inf_pick_2 | SNVZ:seis_pick_2/inf_pick_1,S2I1S2I2S1I1S1I2S2I1,3000.0,3.0,1827848.0,5661776.0,1864.244263,0.20565678295759612,-0.8506029353275737,5
